"IDAct","Titre","TypeAct","IDCat"
"1","Visiter un lien hypertexte","0","1"
"2","Afficher une structure (cours,forum)","0","1"
"3","Afficher les titres des message d'un forum","1","1"
"4","Afficher le contenu d'un message","1","2"
"5","Connexion","0","3"
"6","Plier et deplier l'aborescence d'une structure","2","1"
"7","Bouger la ScrollBar","2","1"
"8","Bouger la Scrollbar en bas (afficher la fin d'un message)","2","1"
"9","Repondre a un message","1","2"
"10","Poster un nouveau message","1","2"
"11","Modifier le thème de forum","0","4"
